index,glyph_type,sizeA,sizeB,sizeC
41,circular_progressbar,64.0,41.0,17.0
42,flower,64.0,79.0,92.0
43,flower,15.0,32.0,49.0
44,circular_progressbar,4.0,11.0,20.0
45,circular_progressbar,2.0,26.0,51.0
46,tree_growth,20.0,46.0,59.0
47,tree_growth,32.0,17.0,2.0
48,circular_progressbar,76.0,68.0,61.0
49,tree_growth,3.0,15.0,22.0
50,tree_growth,61.0,76.0,91.0
1,tree_growth,99.0,95.0,89.0
2,tree_growth,41.0,29.0,16.0
3,tree_growth,87.0,73.0,40.0
4,tree_growth,29.0,44.0,62.0
5,tree_growth,85.0,91.0,96.0
6,tree_growth,53.0,43.0,18.0
7,tree_growth,82.0,88.0,95.0
8,tree_growth,52.0,69.0,78.0
9,tree_growth,98.0,94.0,88.0
10,tree_growth,21.0,28.0,35.0
11,tree_growth,18.0,26.0,36.0
13,tree_growth,35.0,29.0,19.0
14,tree_growth,25.0,34.0,45.0
15,tree_growth,34.0,26.0,13.0
16,tree_growth,39.0,74.0,81.0
17,tree_growth,26.0,18.0,9.0
18,tree_growth,24.0,37.0,52.0
19,tree_growth,12.0,7.0,2.0
21,tree_growth,72.0,80.0,90.0
22,tree_growth,28.0,45.0,65.0
23,tree_growth,22.0,45.0,63.0
24,tree_growth,62.0,37.0,20.0
25,tree_growth,86.0,76.0,60.0
26,tree_growth,98.0,89.0,78.0
27,tree_growth,94.0,89.0,84.0
1,sun_cc,50.0,39.0,27.0
2,sun_cc,27.0,18.0,11.0
3,sun_cc,30.0,39.0,51.0
4,sun_cc,95.0,80.0,68.0
5,sun_cc,57.0,75.0,94.0
6,sun_cc,28.0,39.0,54.0
7,sun_cc,21.0,35.0,55.0
8,sun_cc,100.0,96.0,87.0
9,sun_cc,1.0,21.0,45.0
10,sun_cc,62.0,30.0,12.0
